publishedAt,authorDisplayName,textDisplay,likeCount,Channel
2024-10-07T12:29:15Z,@asifansafi5827,"Jooos 02 ,bicaranya dan cita citanya sangat tulus dan apa adanya,,ga kesandra dgn siapapun,,,bergerak terus Pak Darma utk  kesejahteraan Jakarta ,,",5,Kompas TV
2024-10-07T12:05:54Z,@imancarlimanb1972,Wdehhhh bru jgg,0,Kompas TV
2024-10-07T11:41:59Z,@berlinaulia9082,Semangat buat mas pram,0,Kompas TV
2024-10-07T11:04:46Z,@Memangberuntung,"<a href=""https://www.youtube.com/watch?v=tQyebvnsa04&amp;t=21070"">5:51:10</a> DI MUTE KAHH??? WADUH",2,Kompas TV
2024-10-07T10:23:19Z,@ekopurwanto4944,Rk suswono terbaik,1,Kompas TV
2024-10-07T10:11:45Z,@solasolmeha251,Nomor urut 2 sarat dgn analisa yg level tinggi nyaris ngaur bagi orang yg ilmunya dibawah rata rata..,1,Kompas TV
2024-10-07T10:09:11Z,@SANKSANK1000,GAK ADA ANIES PILKADA GAK LARIS 🤣,0,Kompas TV
2024-10-07T09:25:35Z,@aigzz809,No 2,2,Kompas TV
2024-10-07T09:08:55Z,@SURPLUSWRLD,MANDRA,0,Kompas TV
2024-10-07T08:22:48Z,@Memangberuntung,ALL IN BUNG DHARMA 💪💪💪💪💪,3,Kompas TV
2024-10-07T07:59:04Z,@agustianjks9304,1. Buka kertas <br>2. Coblos<br>3. Lipat,3,Kompas TV
2024-10-07T07:32:00Z,@asepnguyen,Mana janji2 manismu doeloe..,1,Kompas TV
2024-10-07T07:30:05Z,@shira9567,Gbu u Pak Darma.,2,Kompas TV
2024-10-07T06:25:55Z,@juniar1683,"Rano karno banyak ngomong kayak ganjar 😂😂,, udh bang doel kamu tetap jadi sutradara aje buat film si doel gak cocok jadi gubernurr jkt.",2,Kompas TV
2024-10-07T05:32:53Z,@BabehWarpin,Ga tertarik dengan gagasan para cagub <br>Kami warga jakarta diPaksa untuk memilih pilihan pemerintah,1,Kompas TV
2024-10-07T05:25:53Z,@kangevan3891,Coblos nomor 1 keren mantap dan jakarta akan lebih bersinergi dan mendunia..karna kang Emil arsitek kelas Dunia,0,Kompas TV
2024-10-07T04:56:57Z,@dazedyonku2044,Jadi calon nomor 2 ga percaya covid ya? Oke noted,3,Kompas TV
2024-10-07T04:51:16Z,@jkyosef4822,"Yang penting bukan RK ex gub jabar,plg pantas pasangan Pramono-Rano karno",0,Kompas TV
2024-10-07T04:33:19Z,@kangevan3891,Nomor satu tetep yg terbaik👍☝️,2,Kompas TV
2024-10-07T04:28:24Z,@joshuaphoniex6206,Gak ada anis debat nya jadi Segar dan manusiawi tidak serang menyerang personal,0,Kompas TV
2024-10-07T04:23:51Z,@hendriyulendra6038,Asli betawi ada gak utusan fbr mana,0,Kompas TV
2024-10-07T04:19:14Z,@gembelelit9197,RUBAH SISTEM PENDIDIKAN JIKA MAU MAJU NEGARA INI,5,Kompas TV
2024-10-07T06:00:38Z,@asunsupandi415,"Intinya membangun SDM nya dengan baik, kemanusiaan dan beradab..jadi otomatis bakal SDA cepat penanggulangannya dan reformasi pasti memajukan negeri ini",0,Kompas TV
2024-10-07T04:17:46Z,@gembelelit9197,"Gen z etos kerjanya minim,kebayakan mlas kerja",0,Kompas TV
2024-10-07T04:16:34Z,@gembelelit9197,"Ekobasi modal nanti nasibnya kaya OKOCE ,hahahha bangkrut di tengah jalan",0,Kompas TV
2024-10-07T04:14:54Z,@gembelelit9197,"PPSU TNPA IJAZAH EMANG BAGUS PAK,TPI MASUK PPSU DI BISNISKAN PAK ITU FAKTA",0,Kompas TV
2024-10-07T04:13:41Z,@joshuaphoniex6206,Ngibul mau nanam pohon 3000.. yg ada aja ditebang😂😂😂,0,Kompas TV
2024-10-07T04:08:56Z,@gembelelit9197,Dana rw jika pengawasan nya tidak jelas maka akan jadi koruptor gaya baru,0,Kompas TV
2024-10-07T04:07:50Z,@gembelelit9197,Sdm emang butuh di upgrade tapi jika sistem sekolah gk di rubah sama aja omong kosong,0,Kompas TV
2024-10-07T03:51:46Z,@ASupriyatna,"Yah kita buktikan saja nanti di pilkada siapa pilihan warganya yang punya hati nurani yang tulus dan ikhlas, biarkan warga Jakarta menentukan pilihannya sendiri,dengan senang hati ga merasa di propokasi oleh calo bazer bazer siluman bayaran yang mencari keuntungan di air keruh ,pilkada DKI Jakarta,ok mas bro salam damai selalu buat warga Jakarta semoga sukses selalu untuk warganya dan calon pemimpin warga Jakarta salam Rahayu untuk kita semua",0,Kompas TV
2024-10-07T03:50:41Z,@indrasasmita4892,Nomer urut 2 bergerak dari hati dan tulus pejuang kemanusiaan serta sangat cakap &amp; kompeten,8,Kompas TV
2024-10-07T03:45:44Z,@IrwanSyah-d6v,Kofit di paksa aja..,1,Kompas TV
2024-10-07T03:45:19Z,@IrwanSyah-d6v,Benar bang darma.. Saya tidak bercaya kofit..,5,Kompas TV
